name,roadAddress
행당역,서울특별시 성동구 행당로 89
왕십리역,서울특별시 성동구 왕십리로 300
마장역,서울특별시 성동구 마장로 296
답십리역,서울특별시 성동구 천호대로 300
장한평역,서울특별시 동대문구 천호대로 405
군자역,서울특별시 광진구 천호대로 550
아차산역,서울특별시 광진구 천호대로 657
광나루역,서울특별시 광진구 아차산로 571
천호역,서울특별시 강동구 천호대로 997
강동역,서울특별시 강동구 천호대로 1097 강동역
길동역,서울특별시 강동구 양재대로 1480 길동역
굽은다리역,서울특별시 강동구 양재대로 1572 굽은다리역
명일역,서울특별시 강동구 양재대로 1632 명일역
고덕역,서울특별시 강동구 고덕로 253 고덕역
상일동역,서울특별시 강동구 고덕로 359 상일동역
둔촌동역,서울특별시 강동구 양재대로 1369 둔촌역
올림픽공원역,서울특별시 송파구 양재대로 1233
방이역,서울특별시 송파구 양재대로 1127 방이역
오금역,서울특별시 송파구 오금로 321 오금역
개롱역,서울특별시 송파구 오금로 402
거여역,서울특별시 송파구 오금로 499 거여역
마천역,서울특별시 송파구 마천로57길 7 7
강일역,서울특별시 강동구 고덕로 456
미사역,경기도 하남시 미사강변중앙로 218 성산타워 1층 115호
하남풍산역,경기도 하남시 덕풍서로 50
하남시청역,경기도 하남시 하남대로 820
하남검단산역,경기 하남시 창우동
응암역,서울특별시 은평구 증산로 477 지하철6호선응암역사
역촌역,서울특별시 은평구 서오릉로 63 역촌역사
불광역,서울특별시 은평구 통일로 723-1
독바위역,서울특별시 은평구 불광로 129-1
연신내역,서울특별시 은평구 통일로 849
구산역,서울특별시 은평구 연서로 137-1 6호선 구산역사무소
새절역,서울특별시 은평구 증산로 400
증산역,서울특별시 은평구 증산로 306
디지털미디어시티역,서울특별시 마포구 수색로 175
월드컵경기장역,서울특별시 마포구 월드컵로 240 월드컵경기장역
마포구청역,서울특별시 마포구 월드컵로 190 마포구청역
망원역,서울특별시 마포구 월드컵로 77 망원역
합정역,서울특별시 마포구 양화로 55 합정역
상수역,서울특별시 마포구 독막로 85 상수역
광흥창역,서울특별시 마포구 독막로 165
대흥역,서울특별시 마포구 대흥로 85
공덕역,서울특별시 마포구 마포대로 100
효창공원앞역,서울특별시 용산구 백범로 287
삼각지역,서울특별시 용산구 한강대로 180 4호선 삼각지역
녹사평역,서울특별시 용산구 녹사평대로 195 6호선 녹사평역
이태원역,서울특별시 용산구 이태원로 177
한강진역,서울특별시 용산구 이태원로 287
버티고개역,서울특별시 중구 다산로 38
청구역,서울특별시 중구 청구로 77
신당역,서울특별시 중구 퇴계로 431-1
창신역,서울특별시 종로구 지봉로 112
보문역,서울특별시 성북구 보문로 116
안암역,서울특별시 성북구 고려대로 89
고려대역,서울특별시 성북구 종암로 1
월곡역,서울특별시 성북구 장월로1길 91
상월곡역,서울특별시 성북구 화랑로 157 상월곡역
돌곶이역,서울특별시 성북구 화랑로 243
석계역,서울특별시 노원구 화랑로 341
태릉입구역,서울특별시 노원구 동일로 992-1
화랑대역,서울특별시 노원구 화랑로 510
봉화산역,서울특별시 중랑구 신내로 232
신내역,서울특별시 중랑구 신내역로 20
장암역,경기도 의정부시 동일로 121
도봉산역,서울특별시 도봉구 도봉로 964-33
수락산역,서울특별시 노원구 동일로 1662
마들역,서울특별시 노원구 동일로 1530-1
노원역,서울특별시 노원구 상계로 69-1
중계역,서울특별시 노원구 동일로 1308-1
하계역,서울특별시 노원구 동일로 1196
공릉역,서울특별시 노원구 동일로 1074
먹골역,서울특별시 중랑구 동일로 901
중화역,서울특별시 중랑구 동일로 797
상봉역,서울특별시 중랑구 망우로 297
면목역,서울특별시 중랑구 면목로 407
사가정역,서울특별시 중랑구 사가정로 393
용마산역,서울특별시 중랑구 용마산로 227
중곡역,서울특별시 광진구 능동로 417
군자역,서울특별시 광진구 천호대로 550
어린이대공원역,서울특별시 광진구 능동로 210
건대입구역,서울특별시 광진구 아차산로 243
뚝섬유원지역,서울특별시 광진구 능동로 10
청담역,서울특별시 강남구 학동로 508
강남구청역,서울특별시 강남구 학동로 346
학동역,서울특별시 강남구 학동로 180
논현역,서울특별시 강남구 학동로 102 논현역
반포역,서울특별시 서초구 신반포로 241
고속터미널역,서울특별시 서초구 신반포로 188
내방역,서울특별시 서초구 서초대로 103
총신대입구역,서울특별시 동작구 동작대로 117
남성역,서울특별시 동작구 사당로 218
숭실대입구역,서울특별시 동작구 상도로 378
상도역,서울특별시 동작구 상도로 272
장승배기역,서울특별시 동작구 상도로 188
신대방삼거리역,서울특별시 동작구 상도로 76
보라매역,서울특별시 영등포구 상도로 2
신풍역,서울특별시 영등포구 신풍로 27 신풍역
대림역,서울특별시 구로구 도림천로 351
남구로역,서울특별시 구로구 도림로 7
가산디지털단지역,서울특별시 금천구 벚꽃로 309 가산디지털단지역
철산역,경기도 광명시 철산로 13 철산역
광명사거리역,경기도 광명시 오리로 980
천왕역,서울특별시 구로구 오리로 1154
온수역,서울특별시 구로구 부일로 872 온수역(1호선)
암사역,서울특별시 강동구 올림픽로 776 암사역
천호역,서울특별시 강동구 천호대로 997
강동구청역,서울특별시 강동구 올림픽로 550
몽촌토성역,서울특별시 송파구 올림픽로 383
잠실역,서울특별시 송파구 올림픽로 265
석촌역,서울특별시 송파구 송파대로 439
송파역,서울특별시 송파구 송파대로 354
가락시장역,서울특별시 송파구 송파대로 257 가락시장역
문정역,서울특별시 송파구 송파대로 179
장지역,서울특별시 송파구 송파대로 82
복정역,서울특별시 송파구 송파대로 6
남위례역,경기도 성남시 수정구 공원로 601
산성역,경기도 성남시 수정구 수정로 365 산성역
남한산성입구역,경기도 성남시 중원구 희망로406번길 8-5
단대오거리역,경기도 성남시 수정구 산성대로 365
신흥역,경기도 성남시 수정구 산성대로 280
수진역,경기도 성남시 수정구 산성대로 200
모란역,경기도 성남시 수정구 산성대로 100
언주역,서울특별시 강남구 봉은사로29길 10 1층
선정릉역,서울특별시 강남구 언주로108길 12 1층 102호
삼성중앙역,서울특별시 강남구 봉은사로 501
봉은사역,서울특별시 강남구 봉은사로 150
종합운동장역,서울특별시 중구 장충단로 230
삼전역,서울특별시 송파구 백제고분로 167 2층 리안헤어
석촌고분역,서울특별시 송파구 삼학사로 51 2층
석촌역,서울특별시 송파구 백제고분로40길 4-7 1층
송파나루역,서울특별시 송파구 백제고분로46길 31-1 송화빌딩 1층
한성백제역,서울특별시 송파구 위례성대로 29
올림픽공원역,서울특별시 송파구 올림픽로 424
둔촌오륜역,서울특별시 강동구 강동대로 303
중앙보훈병원역,서울특별시 강동구 동남로 625
